=============================================================== 

as [A] =           2.71500 
ag [A] =           2.83000 
al [A] =           2.86833 
skl [eV/A/A] =          2.15025 
skd [eV/A/A] =          1.07513 
mu [A] =           0.04236 
D [1/s]=        5.19588E+12 
E [eV] =            0.53000 
gamma [eV] =         0.40000 
nx=    500 
ny=    80 
nsurf= 32 
irange_min = 10 
irange_max = 10 
time_fluence [s] =           8.000 
time_simulation [s] =         100.000 
k_max_step= 8 
f_deposition [ML/s]=           0.080 
temperature [K] =             600 
================================================================ 

iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    122000        0.343595     385        0.9968   (       277.9)         0.614
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    123000        0.345996     387        0.9968   (       280.1)         0.626
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    124000        0.349135     391        0.9968   (       282.4)         0.638
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    125000        0.352209     396        0.9968   (       284.6)         0.737
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    126000        0.354851     399        0.9968   (       286.9)         0.765
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    127000        0.357807     404        0.9968   (       289.1)         0.747
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    128000        0.360768     407        0.9968   (       291.4)         0.692
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    129000        0.363856     412        0.9968   (       293.6)         0.685
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    130000        0.366619     413        0.9968   (       295.8)         0.690
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    131000        0.368771     415        0.9968   (       298.0)         0.712
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    132000        0.371439     420        0.9968   (       300.2)         0.756
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    133000        0.374208     424        0.9968   (       302.4)         0.750
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    134000        0.377266     425        0.9968   (       304.6)         0.718
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    135000        0.381529     426        0.9968   (       306.8)         0.794
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    136000        0.385390     428        0.9968   (       309.0)         0.671
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    137000        0.387887     430        0.9968   (       311.2)         0.658
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    138000        0.390601     432        0.9968   (       313.4)         0.603
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    139000        0.395373     439        0.9967   (       315.6)         0.701
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    140000        0.397339     443        0.9966   (       317.8)         0.810
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    141000        0.400382     444        0.9961   (       320.0)         0.829
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    142000        0.404536     448        0.9961   (       322.2)         0.809
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    143000        0.407726     453        0.9961   (       324.4)         0.776
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    144000        0.412269     456        0.9960   (       326.6)         0.775
iter, time, new_atoms, pr_acc, (real time [s]), duv_max =    145000        0.414374     458        0.9961   (       328.8)         0.721
